project_id,project_name,project_type,state,district,latitude,longitude,land_area_acres,affected_families,planned_duration_days,historical_district_delay_rate,historical_project_type_delay_rate,current_stage,notification_status,documentation_completion_pct,approval_delay_days,pending_approvals,compensation_approved_pct,compensation_paid_pct,compensation_pending_families,legal_disputes,average_dispute_age_days,ownership_conflicts,rr_progress_pct,rehabilitation_pending_families,possession_pct,stakeholder_response_days,department_backlog,current_elapsed_days,delayed,actual_delay_days,planned_completion_date,actual_completion_date
PRJ-0011,Thane Metro Phase 2 - Line C,Metro,Maharashtra,Thane,19.268085405674082,72.9349320656151,762.9,189,1118,0.38946339367881466,0.5,Survey & Documentation,Completed,32.9,14.0,3,0.0,0.0,189,1,74.3,0,0.0,189,0.0,35.0,37,371,1,488.0,2024-11-04,2026-03-07
PRJ-0012,Tech Park Site (Vadodara),Industrial Area,Gujarat,Vadodara,22.311717815678524,73.19237271461347,207.2,376,939,0.26685785941408724,0.3,Rehabilitation & Resettlement,Completed,96.4,0.0,0,94.6,80.2,74,2,141.9,2,31.0,259,0.0,34.0,68,849,0,0.0,2024-05-21,2024-05-21
PRJ-0013,Power/Grid Development Project - Mumbai,Power/Grid,Maharashtra,Mumbai,19.081218734925038,72.82958677210593,323.8,239,735,0.299816047538945,0.2,Notification,In Progress,27.9,2.0,0,0.0,0.0,239,1,93.5,2,0.0,239,0.0,38.0,51,144,1,378.0,2024-05-16,2025-05-29
PRJ-0014,Dedicated Route-634 (Ahmedabad Segment),Highway,Gujarat,Ahmedabad,23.000755803410065,72.51755243989558,139.5,142,1236,0.3947411578889518,0.35,Compensation Disbursement,Completed,96.3,50.0,0,95.9,65.4,49,0,0.0,3,0.0,142,0.0,46.0,68,882,1,521.0,2025-10-01,2027-03-06
PRJ-0015,Tech Park Site (Gandhinagar),Industrial Area,Gujarat,Gandhinagar,23.203080389691557,72.59953187175259,171.9,131,1497,0.33242799368681436,0.3,Preliminary Identification,Pending,10.0,7.0,0,0.0,0.0,131,1,66.6,0,0.0,131,0.0,22.0,74,137,1,658.0,2025-03-01,2026-12-19
PRJ-0016,Gandhinagar Rail Link & Yard Expansion,Railway,Gujarat,Gandhinagar,23.222995903994125,72.66003700726189,132.1,198,470,0.33242799368681436,0.45,Survey & Documentation,Completed,34.5,63.0,2,0.0,0.0,198,0,0.0,1,0.0,198,0.0,22.0,78,172,1,357.0,2022-11-10,2023-11-02
PRJ-0017,International Airport Runway Phase 1 - Mangaluru,Airport,Karnataka,Mangaluru,12.917954383224565,74.84810840359336,262.8,276,964,0.3227780074568463,0.55,Compensation Assessment,Completed,87.2,245.0,2,53.2,0.0,276,2,115.2,2,0.0,276,0.0,41.0,36,466,1,518.0,2024-07-02,2025-12-02
PRJ-0018,NH Route-323 (Mumbai Segment),Highway,Maharashtra,Mumbai,19.062480010502803,72.91870301217165,401.4,169,1005,0.299816047538945,0.35,Objections / Legal Review,Completed,88.0,19.0,3,0.0,0.0,169,3,55.4,4,0.0,169,0.0,13.0,71,505,1,442.0,2024-04-12,2025-06-28
PRJ-0019,International Airport Runway Phase 1 - Thane,Airport,Maharashtra,Thane,19.184624167807833,73.00620620074346,161.6,76,1246,0.38946339367881466,0.55,Objections / Legal Review,Completed,92.0,285.0,2,0.0,0.0,76,2,293.3,3,0.0,76,0.0,45.0,61,636,1,615.0,2025-12-17,2027-08-24
PRJ-0020,Lift Irrigation - Hubballi,Irrigation,Karnataka,Hubballi,15.395597878968813,75.11430400087248,151.1,213,1150,0.35990257265289516,0.4,Compensation Disbursement,Completed,96.4,117.0,0,95.3,64.4,75,4,30.6,1,0.0,213,0.0,26.0,31,793,1,508.0,2024-10-15,2026-03-07
PRJ-0021,Kanpur Rail Link & Yard Expansion,Railway,Uttar Pradesh,Kanpur,26.425576071907077,80.32836497832552,103.2,67,921,0.5379639408647977,0.45,Survey & Documentation,Completed,78.1,30.0,1,0.0,0.0,67,0,0.0,3,0.0,67,0.0,27.0,75,298,1,415.0,2024-06-09,2025-07-29
PRJ-0022,Chennai Rail Link & Yard Expansion,Railway,Tamil Nadu,Chennai,13.033885671107125,80.21621160386749,59.0,44,262,0.21239780813448106,0.45,Survey & Documentation,Completed,48.8,70.0,0,0.0,0.0,44,5,219.4,1,0.0,44,0.0,39.0,21,75,1,389.0,2022-08-01,2023-08-25
PRJ-0023,High-Speed Route-926 (Nagpur Segment),Highway,Maharashtra,Nagpur,21.099192383934227,79.05065740377547,580.2,590,1407,0.44279757672456205,0.35,Compensation Disbursement,Completed,87.9,11.0,0,98.4,66.4,198,0,0.0,2,0.0,590,0.0,22.0,21,810,0,0.0,2026-05-11,2026-05-11
PRJ-0024,Chennai Rail Link & Yard Expansion,Railway,Tamil Nadu,Chennai,13.083201218440566,80.31259639633934,96.0,162,821,0.21239780813448106,0.45,Compensation Assessment,Completed,87.3,111.0,0,82.7,0.0,162,4,251.1,1,0.0,162,0.0,31.0,52,406,1,571.0,2025-03-06,2026-09-28
PRJ-0025,Power/Grid Development Project - Belagavi,Power/Grid,Karnataka,Belagavi,15.817977079839963,74.5499194412896,342.6,228,1341,0.26649165607921677,0.2,Preliminary Identification,Pending,14.4,2.0,0,0.0,0.0,228,1,50.2,2,0.0,228,0.0,43.0,56,129,1,545.0,2026-02-07,2027-08-06
PRJ-0026,Varanasi Rail Link & Yard Expansion,Railway,Uttar Pradesh,Varanasi,25.3721889490722,83.02896855258143,271.3,184,262,0.23493564427131047,0.45,Compensation Disbursement,Completed,93.2,46.0,0,91.7,24.9,138,1,287.3,0,0.0,184,0.0,42.0,41,195,1,250.0,2022-05-21,2023-01-26
PRJ-0027,International Airport Runway Phase 1 - Agra,Airport,Uttar Pradesh,Agra,27.217207528161158,77.99175900489573,333.0,530,827,0.22272998688284024,0.55,Compensation Disbursement,Completed,87.1,556.0,0,98.2,34.0,349,3,324.8,2,0.0,530,0.0,86.0,71,550,1,519.0,2025-03-02,2026-08-03
PRJ-0028,International Airport Runway Phase 1 - Kanpur,Airport,Uttar Pradesh,Kanpur,26.398622069320314,80.34015824781198,572.2,267,798,0.5379639408647977,0.55,Preliminary Identification,Pending,12.5,1.0,1,0.0,0.0,267,0,0.0,3,0.0,267,0.0,12.0,42,93,0,0.0,2024-05-07,2024-05-07
PRJ-0029,Industrial Corridor (Belagavi),Industrial Area,Karnataka,Belagavi,15.856741773272468,74.53969709205315,215.3,270,330,0.26649165607921677,0.3,Compensation Disbursement,Completed,89.4,48.0,0,95.2,40.7,159,0,0.0,2,0.0,270,0.0,47.0,62,182,1,349.0,2023-04-02,2024-03-16
PRJ-0030,International Airport Runway Phase 1 - Ahmedabad,Airport,Gujarat,Ahmedabad,23.082018926113534,72.57237887678721,476.5,835,1123,0.3947411578889518,0.55,Compensation Assessment,Completed,95.2,22.0,2,31.4,0.0,835,3,42.8,1,0.0,835,0.0,50.0,52,639,1,508.0,2025-06-05,2026-10-26
PRJ-0031,SEZ Hub (Gandhinagar),Industrial Area,Gujarat,Gandhinagar,23.19702448372477,72.59920820538674,56.7,97,1039,0.33242799368681436,0.3,Survey & Documentation,Completed,70.5,64.0,3,0.0,0.0,97,3,295.3,1,0.0,97,0.0,30.0,76,411,1,591.0,2024-06-21,2026-02-02
PRJ-0032,International Airport Runway Phase 1 - Chennai,Airport,Tamil Nadu,Chennai,13.023275978978086,80.27179364309868,217.1,83,498,0.21239780813448106,0.55,Compensation Assessment,Completed,95.9,119.0,3,74.4,0.0,83,2,52.7,2,0.0,83,0.0,32.0,24,296,1,333.0,2024-02-15,2025-01-13
PRJ-0033,Power/Grid Development Project - Surat,Power/Grid,Gujarat,Surat,21.17686224000431,72.8700926175781,315.9,235,1450,0.20579754426081673,0.2,Compensation Assessment,Completed,95.0,87.0,1,57.4,0.0,235,2,327.2,2,0.0,235,0.0,17.0,39,899,1,558.0,2026-10-02,2028-04-12
PRJ-0034,Smart City Node (Gandhinagar),Urban Development,Gujarat,Gandhinagar,23.216149236147135,72.68687620183992,83.4,43,1240,0.33242799368681436,0.25,Possession,Completed,85.8,304.0,0,94.2,96.0,1,0,0.0,2,95.9,1,47.7,35.0,20,1160,0,0.0,2025-04-05,2025-04-05
PRJ-0035,Industrial Corridor (Varanasi),Industrial Area,Uttar Pradesh,Varanasi,25.332970017188572,83.01474034858653,290.0,500,1471,0.23493564427131047,0.3,Compensation Disbursement,Completed,88.6,40.0,0,92.9,63.5,182,3,290.1,1,0.0,500,0.0,37.0,44,1073,1,628.0,2026-10-22,2028-07-11
PRJ-0036,Varanasi Metro Phase 2 - Line C,Metro,Uttar Pradesh,Varanasi,25.27539620817693,83.01654033563628,321.4,573,294,0.23493564427131047,0.5,Survey & Documentation,Completed,40.5,25.0,1,0.0,0.0,573,2,112.6,1,0.0,573,0.0,32.0,72,88,1,338.0,2022-03-10,2023-02-11
PRJ-0037,Reservoir Link - Tiruchirappalli,Irrigation,Tamil Nadu,Tiruchirappalli,10.811517262533261,78.6651279638926,375.8,230,1284,0.3904460046972835,0.4,Notification,In Progress,0.2,17.0,2,0.0,0.0,230,0,0.0,1,0.0,230,0.0,42.0,63,299,1,582.0,2024-08-15,2026-03-20
PRJ-0038,High-Speed Route-228 (Nashik Segment),Highway,Maharashtra,Nashik,19.96027162697752,73.84098007428531,95.1,129,884,0.2124074561769746,0.35,Rehabilitation & Resettlement,Completed,92.7,19.0,0,95.0,95.1,6,1,62.5,1,32.3,87,0.0,20.0,55,739,0,0.0,2024-10-27,2024-10-27
PRJ-0039,International Airport Runway Phase 1 - Salem,Airport,Tamil Nadu,Salem,11.608165843254046,78.14150419319549,248.9,396,905,0.4332290311184182,0.55,Rehabilitation & Resettlement,Completed,86.2,123.0,0,94.7,86.6,52,0,0.0,2,70.2,118,0.0,44.0,20,692,0,0.0,2023-07-10,2023-07-10
PRJ-0040,Salem Rail Link & Yard Expansion,Railway,Tamil Nadu,Salem,11.641917034792092,78.1658092927998,92.6,72,1287,0.4332290311184182,0.45,Notification,In Progress,22.3,24.0,0,0.0,0.0,72,1,23.1,4,0.0,72,0.0,23.0,16,286,1,564.0,2025-06-30,2027-01-15
PRJ-0041,Smart City Node (Bengaluru),Urban Development,Karnataka,Bengaluru,13.01235552650828,77.57784537458679,288.7,151,1066,0.22336180394137353,0.25,Preliminary Identification,Pending,29.1,5.0,1,0.0,0.0,151,0,0.0,2,0.0,151,0.0,35.0,62,122,1,446.0,2025-01-14,2026-04-05
PRJ-0042,International Airport Runway Phase 2 - Mysuru,Airport,Karnataka,Mysuru,12.287028250478741,76.69723013414017,144.3,45,957,0.27169689718381507,0.55,Compensation Disbursement,Completed,86.5,258.0,0,98.4,60.4,17,0,0.0,3,0.0,45,0.0,38.0,77,723,1,542.0,2024-04-23,2025-10-17
PRJ-0043,Tiruchirappalli Rail Link & Yard Expansion,Railway,Tamil Nadu,Tiruchirappalli,10.824569981161504,78.75236449571182,202.0,180,989,0.3904460046972835,0.45,Compensation Disbursement,Completed,95.4,185.0,0,96.5,19.4,145,0,0.0,2,0.0,180,0.0,67.0,54,538,1,459.0,2024-09-23,2025-12-26
PRJ-0044,Dam Construction - Chennai,Irrigation,Tamil Nadu,Chennai,13.075351466478196,80.2387891444781,127.5,225,333,0.21239780813448106,0.4,Notification,In Progress,26.9,14.0,0,0.0,0.0,225,0,0.0,0,0.0,225,0.0,27.0,58,81,0,0.0,2022-08-08,2022-08-08
PRJ-0045,Lift Irrigation - Tiruchirappalli,Irrigation,Tamil Nadu,Tiruchirappalli,10.779923615846373,78.73063103013979,55.3,104,432,0.3904460046972835,0.4,Compensation Disbursement,Completed,86.4,81.0,0,96.0,32.5,70,1,318.9,5,0.0,104,0.0,27.0,51,248,1,295.0,2024-01-06,2024-10-27
PRJ-0046,Lift Irrigation - Ahmedabad,Irrigation,Gujarat,Ahmedabad,22.97563164858032,72.54385629267398,59.2,36,681,0.3947411578889518,0.4,Survey & Documentation,Completed,79.7,76.0,0,0.0,0.0,36,0,0.0,0,0.0,36,0.0,28.0,35,250,1,433.0,2023-06-03,2024-08-09
PRJ-0047,Belagavi Rail Link & Yard Expansion,Railway,Karnataka,Belagavi,15.795296308055391,74.48958172860057,36.1,28,627,0.26649165607921677,0.45,Survey & Documentation,Completed,73.0,67.0,0,0.0,0.0,28,0,0.0,3,0.0,28,0.0,23.0,72,233,1,363.0,2022-12-10,2023-12-08
PRJ-0048,International Airport Runway Phase 2 - Tiruchirappalli,Airport,Tamil Nadu,Tiruchirappalli,10.829793488317554,78.64765964259577,212.5,187,1476,0.3904460046972835,0.55,Survey & Documentation,Completed,40.3,22.0,3,0.0,0.0,187,2,202.4,0,0.0,187,0.0,30.0,35,395,1,653.0,2026-10-11,2028-07-25
PRJ-0049,Reservoir Link - Agra,Irrigation,Uttar Pradesh,Agra,27.19773882321686,78.05999950494164,397.6,585,1109,0.22272998688284024,0.4,Compensation Assessment,Completed,94.9,62.0,3,49.2,0.0,585,5,305.7,0,0.0,585,0.0,17.0,45,495,0,0.0,2024-12-11,2024-12-11
PRJ-0050,Power/Grid Development Project - Varanasi,Power/Grid,Uttar Pradesh,Varanasi,25.286031343381342,82.99713618088732,24.2,35,1004,0.23493564427131047,0.2,Rehabilitation & Resettlement,Completed,86.5,20.0,0,97.1,87.7,4,2,68.9,1,25.0,26,0.0,31.0,51,739,0,0.0,2025-09-03,2025-09-03
PRJ-0051,SEZ Hub (Vadodara),Industrial Area,Gujarat,Vadodara,22.364212228132025,73.2366733672183,33.7,45,1033,0.26685785941408724,0.3,Objections / Legal Review,Completed,97.3,80.0,3,0.0,0.0,45,2,54.9,2,0.0,45,0.0,24.0,4,453,1,509.0,2024-03-17,2025-08-08
PRJ-0052,Ahmedabad Rail Link & Yard Expansion,Railway,Gujarat,Ahmedabad,22.990691503163497,72.52343972638545,142.3,179,686,0.3947411578889518,0.45,Survey & Documentation,Completed,72.8,33.0,1,0.0,0.0,179,2,176.6,1,0.0,179,0.0,38.0,20,263,1,427.0,2024-08-17,2025-10-18
PRJ-0053,Nagpur Rail Link & Yard Expansion,Railway,Maharashtra,Nagpur,21.103593904547512,79.11244428021786,287.7,109,311,0.44279757672456205,0.45,Rehabilitation & Resettlement,Completed,91.1,120.0,0,91.0,95.5,4,1,326.8,3,17.5,89,0.0,47.0,26,273,1,257.0,2022-03-06,2022-11-18
PRJ-0054,International Airport Runway Phase 2 - Mumbai,Airport,Maharashtra,Mumbai,19.103091065054393,72.89860838739538,54.3,71,530,0.299816047538945,0.55,Preliminary Identification,Pending,26.2,1.0,1,0.0,0.0,71,0,0.0,2,0.0,71,0.0,27.0,21,68,1,343.0,2022-07-30,2023-07-08
PRJ-0055,Pune Rail Link & Yard Expansion,Railway,Maharashtra,Pune,18.500729406529068,73.81707323277098,83.4,153,1286,0.5302857225639664,0.45,Rehabilitation & Resettlement,Completed,87.7,41.0,0,96.1,95.9,6,1,256.9,0,79.8,30,0.0,45.0,17,1075,1,439.0,2025-06-12,2026-08-25
PRJ-0056,Rajkot Rail Link & Yard Expansion,Railway,Gujarat,Rajkot,22.31359133103427,70.80024165349094,72.8,35,997,0.29654473731747666,0.45,Rehabilitation & Resettlement,Completed,95.4,159.0,0,95.4,96.3,1,2,363.0,0,25.2,26,0.0,49.0,24,622,1,475.0,2025-02-20,2026-06-10
PRJ-0057,Lift Irrigation - Surat,Irrigation,Gujarat,Surat,21.197660097654676,72.82406320944229,121.8,137,305,0.20579754426081673,0.4,Survey & Documentation,Completed,51.9,2.0,1,0.0,0.0,137,0,0.0,1,0.0,137,0.0,13.0,12,106,1,223.0,2022-03-23,2022-11-01
PRJ-0058,International Airport Runway Phase 2 - Surat,Airport,Gujarat,Surat,21.150836763362378,72.80631742928308,71.0,56,1417,0.20579754426081673,0.55,Notification,In Progress,23.9,18.0,0,0.0,0.0,56,0,0.0,0,0.0,56,0.0,45.0,66,317,1,582.0,2026-09-27,2028-05-01
PRJ-0059,Reservoir Link - Lucknow,Irrigation,Uttar Pradesh,Lucknow,26.812076438405967,80.91808956514241,107.0,117,1014,0.15823379771832097,0.4,Rehabilitation & Resettlement,Completed,93.1,76.0,0,92.7,83.7,19,0,0.0,5,81.0,22,0.0,14.0,14,771,0,0.0,2025-03-31,2025-03-31
PRJ-0060,Tech Park Site (Vadodara),Industrial Area,Gujarat,Vadodara,22.258579652661293,73.16282284131147,280.8,323,1075,0.26685785941408724,0.3,Compensation Assessment,Completed,85.2,212.0,2,29.8,0.0,323,2,137.9,0,0.0,323,0.0,57.0,24,514,1,581.0,2024-05-22,2025-12-24
PRJ-0061,Tech Park Site (Agra),Urban Development,Uttar Pradesh,Agra,27.121088377483556,77.97046966165996,208.8,243,1134,0.22272998688284024,0.25,Preliminary Identification,Pending,28.3,6.0,3,0.0,0.0,243,0,0.0,1,0.0,243,0.0,31.0,73,141,1,474.0,2024-11-20,2026-03-09
PRJ-0062,Smart City Node (Mumbai),Industrial Area,Maharashtra,Mumbai,19.105612453354333,72.8567562786412,36.9,64,641,0.299816047538945,0.3,Rehabilitation & Resettlement,Completed,93.6,31.0,0,96.5,95.3,3,2,98.9,3,45.6,34,0.0,47.0,16,549,0,0.0,2024-06-01,2024-06-01
PRJ-0063,Smart City Node (Nashik),Urban Development,Maharashtra,Nashik,20.01768844203728,73.81582610107168,223.1,189,804,0.2124074561769746,0.25,Survey & Documentation,Completed,52.2,105.0,2,0.0,0.0,189,1,192.0,1,0.0,189,0.0,59.0,70,297,1,468.0,2023-07-15,2024-10-25
PRJ-0064,Reservoir Link - Pune,Irrigation,Maharashtra,Pune,18.53014224112785,73.91174372896386,149.7,166,284,0.5302857225639664,0.4,Survey & Documentation,Completed,81.5,99.0,1,0.0,0.0,166,2,200.8,2,0.0,166,0.0,41.0,12,108,1,297.0,2023-05-12,2024-03-04
PRJ-0065,Smart City Node (Salem),Industrial Area,Tamil Nadu,Salem,11.606872783994774,78.17463831807058,565.3,134,242,0.4332290311184182,0.3,Compensation Disbursement,Completed,99.8,41.0,0,93.0,72.7,36,0,0.0,3,0.0,134,0.0,34.0,79,164,1,222.0,2021-10-08,2022-05-18
PRJ-0066,International Airport Runway Phase 2 - Madurai,Airport,Tamil Nadu,Madurai,9.98025439727285,78.16327260752234,88.3,131,1142,0.4964704583099741,0.55,Compensation Disbursement,Completed,96.7,39.0,0,94.6,71.7,37,0,0.0,2,0.0,131,0.0,32.0,53,863,0,0.0,2024-11-26,2024-11-26
PRJ-0067,Expressway Route-438 (Bengaluru Segment),Highway,Karnataka,Bengaluru,12.931747123016603,77.5738184367502,279.0,177,930,0.22336180394137353,0.35,Objections / Legal Review,Completed,89.2,34.0,0,0.0,0.0,177,2,182.5,0,0.0,177,0.0,51.0,8,415,1,399.0,2024-01-27,2025-03-01
PRJ-0068,Canal Network - Hubballi,Irrigation,Karnataka,Hubballi,15.325394220785174,75.13615700365776,282.5,433,205,0.35990257265289516,0.4,Notification,In Progress,13.3,4.0,2,0.0,0.0,433,0,0.0,1,0.0,433,0.0,34.0,11,41,1,255.0,2022-03-12,2022-11-22
PRJ-0069,SEZ Hub (Hubballi),Urban Development,Karnataka,Hubballi,15.390162557837538,75.10204885232356,70.1,63,180,0.35990257265289516,0.25,Compensation Assessment,Completed,93.0,9.0,3,89.4,0.0,63,2,318.7,3,0.0,63,0.0,53.0,28,85,1,234.0,2023-04-03,2023-11-23
PRJ-0070,Power/Grid Development Project - Chennai,Power/Grid,Tamil Nadu,Chennai,13.087440788878116,80.29361046840854,487.1,120,273,0.21239780813448106,0.2,Compensation Disbursement,Completed,87.3,108.0,0,99.6,51.8,57,1,212.1,6,0.0,120,0.0,40.0,66,175,1,413.0,2022-10-12,2023-11-29
PRJ-0071,Tech Park Site (Madurai),Urban Development,Tamil Nadu,Madurai,9.915760777993325,78.16228186365466,155.1,83,1062,0.4964704583099741,0.25,Rehabilitation & Resettlement,Completed,91.9,32.0,0,93.4,81.1,15,2,284.6,3,81.7,15,0.0,25.0,26,769,0,0.0,2024-02-20,2024-02-20
PRJ-0072,Power/Grid Development Project - Mangaluru,Power/Grid,Karnataka,Mangaluru,12.946685992234537,74.80375986526207,247.2,441,631,0.3227780074568463,0.2,Objections / Legal Review,Completed,92.5,112.0,2,0.0,0.0,441,2,70.5,5,0.0,441,0.0,33.0,23,287,1,377.0,2024-05-01,2025-05-13
PRJ-0073,Mangaluru Rail Link & Yard Expansion,Railway,Karnataka,Mangaluru,12.928635035890899,74.82423906611517,51.5,42,1215,0.3227780074568463,0.45,Compensation Disbursement,Completed,95.2,84.0,0,90.0,23.0,32,1,164.4,2,0.0,42,0.0,49.0,40,690,0,0.0,2024-12-05,2024-12-05
PRJ-0074,SEZ Hub (Rajkot),Industrial Area,Gujarat,Rajkot,22.31080219176007,70.85702661311595,79.6,35,477,0.29654473731747666,0.3,Preliminary Identification,Pending,19.4,2.0,2,0.0,0.0,35,2,146.9,2,0.0,35,0.0,14.0,14,47,1,303.0,2023-05-02,2024-02-29
PRJ-0075,Power/Grid Development Project - Belagavi,Power/Grid,Karnataka,Belagavi,15.89518744054627,74.4862419683738,196.4,96,1370,0.26649165607921677,0.2,Rehabilitation & Resettlement,Completed,93.8,165.0,0,96.4,88.3,11,2,148.0,2,31.9,65,0.0,47.0,78,1198,1,514.0,2026-02-06,2027-07-05
PRJ-0076,Smart City Node (Vadodara),Urban Development,Gujarat,Vadodara,22.282181663001325,73.149328689329,96.8,86,433,0.26685785941408724,0.25,Survey & Documentation,Completed,66.1,63.0,3,0.0,0.0,86,2,342.0,1,0.0,86,0.0,45.0,18,151,1,314.0,2022-08-20,2023-06-30
PRJ-0077,Lucknow Rail Link & Yard Expansion,Railway,Uttar Pradesh,Lucknow,26.85060178437078,80.89990981439097,158.5,60,1497,0.15823379771832097,0.45,Compensation Disbursement,Completed,95.4,39.0,0,97.8,36.3,38,1,184.6,1,0.0,60,0.0,47.0,62,1021,1,699.0,2026-09-27,2028-08-26
PRJ-0078,High-Speed Route-726 (Chennai Segment),Highway,Tamil Nadu,Chennai,13.088613000975391,80.2108600367389,113.7,132,1347,0.21239780813448106,0.35,Rehabilitation & Resettlement,Completed,96.2,16.0,0,98.0,83.2,22,2,321.6,1,49.9,66,0.0,25.0,42,1252,0,0.0,2026-02-22,2026-02-22
PRJ-0079,International Airport Runway Phase 2 - Belagavi,Airport,Karnataka,Belagavi,15.828561955689501,74.46409211765966,224.6,141,388,0.26649165607921677,0.55,Rehabilitation & Resettlement,Completed,89.0,61.0,0,91.7,99.4,0,0,0.0,2,58.1,59,0.0,14.0,30,262,0,0.0,2023-04-22,2023-04-22
PRJ-0080,International Airport Runway Phase 2 - Chennai,Airport,Tamil Nadu,Chennai,13.139246254795294,80.2979690783484,153.6,174,1429,0.21239780813448106,0.55,Compensation Disbursement,Completed,95.1,81.0,0,99.2,73.2,46,0,0.0,1,0.0,174,0.0,52.0,6,1015,0,0.0,2025-07-31,2025-07-31
PRJ-0081,International Airport Runway Phase 2 - Tiruchirappalli,Airport,Tamil Nadu,Tiruchirappalli,10.772458405655469,78.65584141038367,20.9,27,1086,0.3904460046972835,0.55,Compensation Disbursement,Completed,92.4,19.0,0,98.9,68.4,8,0,0.0,1,0.0,27,0.0,11.0,11,834,0,0.0,2024-04-21,2024-04-21
PRJ-0082,Power/Grid Development Project - Madurai,Power/Grid,Tamil Nadu,Madurai,9.927216071362874,78.08541374575913,229.8,210,463,0.4964704583099741,0.2,Possession,Completed,92.4,112.0,0,97.5,95.7,9,0,0.0,0,87.0,27,32.4,44.0,9,452,0,0.0,2023-06-23,2023-06-23
PRJ-0083,Rural Route-459 (Lucknow Segment),Highway,Uttar Pradesh,Lucknow,26.8510715455078,80.98644348250147,129.7,162,1314,0.15823379771832097,0.35,Rehabilitation & Resettlement,Completed,87.3,87.0,0,96.3,95.4,7,1,362.1,0,11.3,143,0.0,44.0,41,919,1,518.0,2026-02-21,2027-07-24
PRJ-0084,Power/Grid Development Project - Mumbai,Power/Grid,Maharashtra,Mumbai,19.08989510625217,72.89375461034541,103.6,48,529,0.299816047538945,0.2,Compensation Assessment,Completed,86.4,176.0,1,13.4,0.0,48,2,117.2,3,0.0,48,0.0,47.0,17,268,1,344.0,2024-02-20,2025-01-29
