project_id,state,district,project_type,land_area_ha,affected_families,pending_approvals,approval_delay_days,documentation_pct,legal_cases,court_stay,compensation_pct,compensation_delay_days,possession_pct,rr_progress_pct,stakeholder_delay_days,historical_delay_rate,planned_days,actual_days,delay_days,delay_stage,delay_reason,delayed,risk_score,risk_level,latitude,longitude,project_name,current_stage,notification_status,current_elapsed_days
LA1021,Tamil Nadu,Madurai,Highway,63.1,160,2,20,88.5,3,0,65.2,69,19.9,5.0,11,0.243,279,524,245,R&R,R&R Bottleneck,1,100.0,High,9.882200000000001,78.08879999999999,Madurai Highway Corridor (LA1021),Survey & Documentation,Section 19 (Declaration) Issued,181
LA1022,Kerala,Ernakulam,Railway,94.7,272,2,29,71.2,4,0,57.3,49,45.5,32.3,14,0.245,120,298,178,R&R,R&R Bottleneck,1,96.5,High,9.954600000000001,76.34089999999999,Ernakulam Railway Corridor (LA1022),Notification,Section 11 (Preliminary) Issued,78
LA1023,Maharashtra,Pune,Expressway,56.2,176,3,48,69.4,2,0,90.6,4,81.7,49.3,25,0.108,348,548,200,R&R,R&R Bottleneck,1,84.7,High,18.5264,73.87270000000001,Pune Expressway Corridor (LA1023),Compensation Disbursement,Section 11 (Preliminary) Issued,226
LA1024,Tamil Nadu,Madurai,Metro,127.0,318,1,67,85.7,1,0,85.3,26,100.0,92.8,13,0.15,424,619,195,Notification,Documentation,1,85.4,High,9.9052,78.1308,Madurai Metro Corridor (LA1024),Possession,Section 19 (Declaration) Issued,276
LA1025,Uttar Pradesh,Kanpur,Expressway,23.9,59,2,25,83.3,4,0,74.7,35,75.8,55.1,16,0.237,311,517,206,R&R,R&R Bottleneck,1,90.9,High,26.4019,80.3669,Kanpur Expressway Corridor (LA1025),Survey & Documentation,Section 19 (Declaration) Issued,202
LA1026,Maharashtra,Nashik,Metro,261.7,347,2,47,80.6,2,0,100.0,21,100.0,100.0,27,0.152,448,592,144,Notification,Documentation,1,78.6,High,19.961499999999997,73.7808,Nashik Metro Corridor (LA1026),Possession,Section 19 (Declaration) Issued,291
LA1027,Bihar,Araria,Railway,197.0,433,0,38,84.7,1,0,76.9,22,90.1,66.1,4,0.045,417,612,195,Notification,Documentation,1,82.3,High,26.1442,87.53580000000001,Araria Railway Corridor (LA1027),Possession,Section 19 (Declaration) Issued,271
LA1028,Telangana,Warangal,Railway,155.5,447,0,23,86.1,1,0,88.7,3,100.0,82.9,5,0.329,377,473,96,Notification,Documentation,1,64.8,Medium,17.980900000000002,79.59909999999999,Warangal Railway Corridor (LA1028),Possession,Section 19 (Declaration) Issued,245
LA1029,Odisha,Khordha,Highway,83.5,134,0,27,100.0,0,0,69.4,35,93.5,40.8,16,0.704,210,349,139,R&R,R&R Bottleneck,1,78.9,High,20.2185,85.6032,Khordha Highway Corridor (LA1029),Possession,Section 19 (Declaration) Issued,136
LA1030,Karnataka,Belagavi,Metro,143.9,152,0,0,82.8,2,0,89.3,26,70.3,69.5,12,0.616,181,345,164,R&R,R&R Bottleneck,1,100.0,High,15.8587,74.47869999999999,Belagavi Metro Corridor (LA1030),Compensation Disbursement,Section 19 (Declaration) Issued,118
LA1031,Madhya Pradesh,Indore,Highway,32.7,98,2,61,82.1,1,0,82.5,22,98.2,95.3,17,0.219,216,335,119,Notification,Documentation,1,86.3,High,22.7306,75.90469999999999,Indore Highway Corridor (LA1031),Possession,Section 19 (Declaration) Issued,140
LA1032,Odisha,Khordha,Highway,31.2,86,2,60,96.2,2,0,100.0,0,75.5,59.3,17,0.42,297,466,169,Notification,Documentation,1,58.9,Medium,20.2155,85.6392,Khordha Highway Corridor (LA1032),Compensation Disbursement,Section 19 (Declaration) Issued,193
LA1033,Odisha,Nayagarh,Railway,348.2,1392,1,29,78.2,2,0,83.8,15,83.7,81.9,11,0.546,419,610,191,Notification,Documentation,1,84.8,High,20.075,85.113,Nayagarh Railway Corridor (LA1033),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,272
LA1034,Kerala,Ernakulam,Highway,85.8,136,5,97,63.5,1,0,93.5,21,93.6,96.6,23,0.437,210,401,191,Notification,Documentation,1,96.1,High,9.9816,76.3009,Ernakulam Highway Corridor (LA1034),Possession,Section 11 (Preliminary) Issued,136
LA1035,Bihar,Araria,Metro,79.7,217,2,38,82.7,1,0,97.3,4,100.0,85.7,25,0.618,315,462,147,Notification,Documentation,1,96.8,High,26.1492,87.4548,Araria Metro Corridor (LA1035),Possession,Section 19 (Declaration) Issued,205
LA1036,Kerala,Ernakulam,Highway,46.8,81,0,0,68.7,4,0,59.9,67,48.5,42.6,17,0.305,419,599,180,R&R,R&R Bottleneck,1,92.4,High,10.0136,76.34689999999999,Ernakulam Highway Corridor (LA1036),Preliminary Identification,Section 11 (Preliminary) Issued,272
LA1037,Kerala,Thrissur,Highway,62.7,74,4,103,66.3,1,0,75.7,41,76.9,44.6,32,0.559,429,628,199,Notification,Documentation,1,97.1,High,10.4916,76.2284,Thrissur Highway Corridor (LA1037),Compensation Disbursement,Section 11 (Preliminary) Issued,279
LA1038,Bihar,Araria,Highway,96.4,176,2,63,69.4,0,0,85.8,37,100.0,85.4,11,0.62,415,634,219,Notification,Documentation,1,97.0,High,26.1062,87.4978,Araria Highway Corridor (LA1038),Possession,Section 11 (Preliminary) Issued,270
LA1039,Uttar Pradesh,Lucknow,Metro,143.3,426,1,27,75.7,2,0,82.4,43,81.5,77.3,4,0.248,388,404,16,,,0,90.2,High,26.874699999999997,80.99220000000001,Lucknow Metro Corridor (LA1039),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,252
LA1040,Andhra Pradesh,Guntur,Expressway,35.3,54,2,64,89.8,1,0,100.0,0,70.7,90.6,23,0.16,359,372,13,,,0,81.7,High,16.270699999999998,80.4785,Guntur Expressway Corridor (LA1040),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,233
LA1041,Maharashtra,Nashik,Highway,65.3,246,1,45,86.4,4,0,95.5,0,75.0,81.5,18,0.183,182,286,104,Notification,Documentation,1,77.1,High,20.0305,73.8238,Nashik Highway Corridor (LA1041),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,118
LA1042,Madhya Pradesh,Indore,Highway,76.2,188,0,60,100.0,2,0,88.7,0,99.0,63.1,13,0.141,322,333,11,,,0,79.5,High,22.6726,75.8977,Indore Highway Corridor (LA1042),Possession,Section 19 (Declaration) Issued,209
LA1043,Kerala,Thrissur,Highway,122.1,162,1,3,83.1,3,0,95.3,7,67.1,42.2,21,0.312,379,578,199,R&R,R&R Bottleneck,1,84.0,High,10.5566,76.2554,Thrissur Highway Corridor (LA1043),Compensation Disbursement,Section 19 (Declaration) Issued,246
LA1044,Bihar,Araria,Metro,157.5,561,2,50,89.5,4,0,68.2,33,55.1,57.7,22,0.072,354,537,183,Notification,Documentation,1,93.3,High,26.1982,87.4518,Araria Metro Corridor (LA1044),Survey & Documentation,Section 19 (Declaration) Issued,230
LA1045,Tamil Nadu,Madurai,Railway,103.3,390,3,25,96.0,5,0,88.0,18,86.5,58.9,32,0.33,393,556,163,Compensation,Compensation Delay,1,93.0,High,9.9652,78.07979999999999,Madurai Railway Corridor (LA1045),Compensation Disbursement,Section 19 (Declaration) Issued,255
LA1046,Bihar,Supaul,Highway,70.7,204,0,32,87.1,2,0,75.0,38,70.2,73.8,11,0.116,500,708,208,Notification,Documentation,1,97.3,High,26.164,86.653,Supaul Highway Corridor (LA1046),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,325
LA1047,Andhra Pradesh,Guntur,Expressway,199.3,713,2,40,74.5,0,0,96.9,4,100.0,93.5,15,0.044,414,451,37,Notification,Documentation,1,68.5,Medium,16.2807,80.40849999999999,Guntur Expressway Corridor (LA1047),Possession,Section 11 (Preliminary) Issued,269
LA1048,Maharashtra,Nashik,Industrial Corridor,117.0,391,0,37,79.9,1,0,82.5,22,91.2,76.9,12,0.283,380,610,230,Notification,Documentation,1,88.4,High,19.984499999999997,73.8328,Nashik Industrial Corridor Corridor (LA1048),Possession,Section 19 (Declaration) Issued,247
LA1049,Uttar Pradesh,Lucknow,Highway,43.7,165,4,98,59.7,5,0,73.4,34,45.9,15.0,37,0.281,331,554,223,Notification,Documentation,1,93.2,High,26.808699999999998,80.92320000000001,Lucknow Highway Corridor (LA1049),Notification,Section 11 (Preliminary) Issued,215
LA1050,Madhya Pradesh,Bhopal,Railway,57.7,146,0,0,72.7,3,0,90.2,21,80.2,82.3,10,0.554,354,507,153,Compensation,Compensation Delay,1,95.4,High,23.290899999999997,77.38459999999999,Bhopal Railway Corridor (LA1050),Rehabilitation & Resettlement,Section 11 (Preliminary) Issued,230
LA1051,Karnataka,Bengaluru Rural,Highway,32.4,75,0,36,78.3,1,0,75.0,37,47.5,50.4,9,0.408,372,573,201,Possession,Legal Dispute,1,95.7,High,13.228399999999999,77.63680000000001,Bengaluru Rural Highway Corridor (LA1051),Compensation Disbursement,Section 19 (Declaration) Issued,242
LA1052,Uttar Pradesh,Lucknow,Metro,116.8,270,3,44,84.9,3,0,67.5,76,42.5,43.1,25,0.227,543,680,137,Possession,Legal Dispute,1,99.7,High,26.8557,80.9932,Lucknow Metro Corridor (LA1052),Survey & Documentation,Section 19 (Declaration) Issued,353
LA1053,Kerala,Ernakulam,Metro,89.9,206,4,78,66.7,2,0,73.3,18,58.9,31.9,23,0.205,442,657,215,Notification,Documentation,1,95.3,High,10.0066,76.3429,Ernakulam Metro Corridor (LA1053),Notification,Section 11 (Preliminary) Issued,287
LA1054,Telangana,Warangal,Industrial Corridor,40.4,125,3,72,76.8,2,0,68.3,42,89.6,79.1,29,0.175,330,537,207,Notification,Documentation,1,100.0,High,17.9649,79.6171,Warangal Industrial Corridor Corridor (LA1054),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,214
LA1055,Karnataka,Belagavi,Expressway,116.2,342,1,20,72.3,2,0,100.0,0,99.1,92.4,16,0.463,120,321,201,Notification,Documentation,1,99.5,High,15.8047,74.5197,Belagavi Expressway Corridor (LA1055),Possession,Section 11 (Preliminary) Issued,78
LA1056,Kerala,Thrissur,Highway,106.6,385,1,26,78.6,5,0,60.6,56,55.2,48.1,20,0.32,120,271,151,R&R,R&R Bottleneck,1,97.5,High,10.5216,76.1664,Thrissur Highway Corridor (LA1056),Notification,Section 19 (Declaration) Issued,78
LA1057,Telangana,Warangal,Highway,135.8,405,1,20,83.4,1,0,75.5,25,67.6,49.9,15,0.17,365,377,12,,,0,50.4,Medium,17.995900000000002,79.6151,Warangal Highway Corridor (LA1057),Compensation Disbursement,Section 19 (Declaration) Issued,237
LA1058,Andhra Pradesh,Krishna,Highway,165.2,510,2,39,68.4,2,0,100.0,0,100.0,100.0,20,0.097,483,485,2,,,0,28.0,Low,16.1999,81.0853,Krishna Highway Corridor (LA1058),Possession,Section 11 (Preliminary) Issued,314
LA1059,Andhra Pradesh,Krishna,Highway,89.7,337,1,45,96.1,3,0,84.4,8,75.2,63.4,14,0.289,509,514,5,,,0,52.6,Medium,16.178900000000002,81.1453,Krishna Highway Corridor (LA1059),Compensation Disbursement,Section 19 (Declaration) Issued,331
LA1060,Andhra Pradesh,Krishna,Industrial Corridor,82.7,200,0,48,93.8,0,0,86.2,9,73.9,28.0,1,0.087,349,497,148,R&R,R&R Bottleneck,1,70.8,High,16.1599,81.1743,Krishna Industrial Corridor Corridor (LA1060),Compensation Disbursement,Section 19 (Declaration) Issued,227
LA1061,Uttar Pradesh,Kanpur,Railway,83.4,322,1,13,83.3,4,0,65.6,47,71.4,28.1,8,0.199,421,434,13,,,0,81.3,High,26.4379,80.3399,Kanpur Railway Corridor (LA1061),Survey & Documentation,Section 19 (Declaration) Issued,274
LA1062,Andhra Pradesh,Guntur,Highway,30.6,126,2,44,76.4,2,0,73.9,38,60.3,60.2,16,0.453,170,405,235,Notification,Documentation,1,100.0,High,16.337699999999998,80.4815,Guntur Highway Corridor (LA1062),Notification,Section 19 (Declaration) Issued,110
LA1063,Andhra Pradesh,Guntur,Highway,102.8,286,3,65,74.0,4,0,63.2,71,81.4,100.0,23,0.236,488,714,226,Notification,Documentation,1,96.5,High,16.3457,80.4425,Guntur Highway Corridor (LA1063),Rehabilitation & Resettlement,Section 11 (Preliminary) Issued,317
LA1064,Maharashtra,Nashik,Expressway,48.8,82,0,15,83.9,3,0,71.9,41,77.6,54.7,11,0.196,372,524,152,R&R,R&R Bottleneck,1,73.1,High,20.0365,73.7678,Nashik Expressway Corridor (LA1064),Survey & Documentation,Section 19 (Declaration) Issued,242
LA1065,Kerala,Thrissur,Highway,65.3,90,2,65,88.8,1,0,83.1,58,89.8,67.8,18,0.435,412,572,160,Notification,Documentation,1,92.1,High,10.528599999999999,76.2414,Thrissur Highway Corridor (LA1065),Compensation Disbursement,Section 19 (Declaration) Issued,268
LA1066,Andhra Pradesh,Krishna,Expressway,42.1,60,0,0,87.7,3,0,100.0,0,98.8,100.0,20,0.269,340,433,93,Compensation,Compensation Delay,1,55.1,Medium,16.1549,81.0913,Krishna Expressway Corridor (LA1066),Possession,Section 19 (Declaration) Issued,221
LA1067,Telangana,Warangal,Highway,178.5,376,2,92,87.9,1,0,70.6,34,83.4,87.2,19,0.121,272,460,188,Notification,Documentation,1,93.4,High,17.9219,79.54509999999999,Warangal Highway Corridor (LA1067),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,177
LA1068,Uttar Pradesh,Lucknow,Highway,68.2,122,3,48,80.3,0,0,96.4,10,100.0,93.5,12,0.109,315,502,187,Notification,Documentation,1,93.4,High,26.8127,80.9672,Lucknow Highway Corridor (LA1068),Possession,Section 19 (Declaration) Issued,205
LA1069,Bihar,Supaul,Railway,79.9,93,1,66,76.9,3,0,72.3,30,74.5,75.2,14,0.327,257,420,163,Notification,Documentation,1,98.0,High,26.145,86.619,Supaul Railway Corridor (LA1069),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,167
LA1070,Kerala,Ernakulam,Industrial Corridor,96.9,185,4,40,72.7,1,0,96.8,0,100.0,89.0,19,0.12,367,375,8,,,0,85.0,High,10.0196,76.3389,Ernakulam Industrial Corridor Corridor (LA1070),Possession,Section 11 (Preliminary) Issued,239
LA1071,Andhra Pradesh,Krishna,Metro,41.6,43,4,66,63.9,4,0,86.9,38,77.0,33.8,20,0.454,457,624,167,R&R,R&R Bottleneck,1,98.2,High,16.1629,81.17630000000001,Krishna Metro Corridor (LA1071),Compensation Disbursement,Section 11 (Preliminary) Issued,297
LA1072,Uttar Pradesh,Lucknow,Railway,147.9,441,2,75,80.4,1,0,86.0,37,66.1,53.9,19,0.149,152,351,199,Notification,Documentation,1,97.0,High,26.8497,80.9222,Lucknow Railway Corridor (LA1072),Compensation Disbursement,Section 19 (Declaration) Issued,99
LA1073,Tamil Nadu,Madurai,Expressway,157.4,157,1,43,70.9,1,0,75.3,53,67.3,55.5,12,0.214,424,610,186,R&R,R&R Bottleneck,1,98.6,High,9.9062,78.1218,Madurai Expressway Corridor (LA1073),Compensation Disbursement,Section 11 (Preliminary) Issued,276
LA1074,Uttar Pradesh,Lucknow,Metro,376.0,917,1,47,82.8,0,0,82.7,0,91.2,99.6,5,0.167,233,243,10,,,0,26.2,Low,26.8677,80.9192,Lucknow Metro Corridor (LA1074),Possession,Section 19 (Declaration) Issued,151
LA1075,Tamil Nadu,Salem,Highway,94.2,113,2,73,89.8,4,0,85.5,42,71.9,82.8,20,0.681,253,430,177,Notification,Documentation,1,96.5,High,11.6513,78.187,Salem Highway Corridor (LA1075),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,164
LA1076,Kerala,Thrissur,Highway,78.7,326,1,0,85.1,2,0,75.0,9,29.5,14.4,29,0.335,397,497,100,R&R,R&R Bottleneck,1,93.2,High,10.512599999999999,76.1734,Thrissur Highway Corridor (LA1076),Compensation Disbursement,Section 19 (Declaration) Issued,258
LA1077,Madhya Pradesh,Indore,Highway,154.3,294,4,59,69.1,2,0,83.7,44,68.4,69.6,28,0.526,454,627,173,Notification,Documentation,1,100.0,High,22.7436,75.8827,Indore Highway Corridor (LA1077),Compensation Disbursement,Section 11 (Preliminary) Issued,295
LA1078,Maharashtra,Nashik,Expressway,58.2,169,3,65,70.7,5,0,98.6,9,71.4,70.2,34,0.266,344,503,159,Notification,Documentation,1,96.7,High,19.9535,73.7828,Nashik Expressway Corridor (LA1078),Rehabilitation & Resettlement,Section 11 (Preliminary) Issued,224
LA1079,Uttar Pradesh,Lucknow,Expressway,80.7,300,1,21,95.2,2,0,84.0,55,57.9,46.4,15,0.233,225,396,171,R&R,R&R Bottleneck,1,94.7,High,26.802699999999998,80.9252,Lucknow Expressway Corridor (LA1079),Compensation Disbursement,Section 19 (Declaration) Issued,146
LA1080,Madhya Pradesh,Bhopal,Highway,119.5,158,4,101,72.3,1,0,90.3,0,65.1,45.0,18,0.126,312,455,143,Notification,Documentation,1,74.2,High,23.270899999999997,77.4516,Bhopal Highway Corridor (LA1080),Compensation Disbursement,Section 11 (Preliminary) Issued,203
LA1081,Maharashtra,Pune,Highway,127.0,189,4,27,61.4,1,0,70.9,17,55.1,51.2,25,0.634,342,568,226,R&R,R&R Bottleneck,1,100.0,High,18.4854,73.8737,Pune Highway Corridor (LA1081),Notification,Section 11 (Preliminary) Issued,222
LA1082,Madhya Pradesh,Indore,Highway,66.5,167,1,33,86.7,2,0,100.0,4,90.5,96.7,11,0.323,169,346,177,Notification,Documentation,1,78.7,High,22.7456,75.88069999999999,Indore Highway Corridor (LA1082),Possession,Section 19 (Declaration) Issued,110
LA1083,Uttar Pradesh,Lucknow,Railway,195.6,674,2,40,91.7,1,0,80.9,22,95.0,100.0,17,0.565,319,420,101,Notification,Documentation,1,64.8,Medium,26.8797,80.9522,Lucknow Railway Corridor (LA1083),Possession,Section 19 (Declaration) Issued,207
LA1084,Bihar,Araria,Industrial Corridor,167.3,325,0,35,95.3,1,0,91.7,23,100.0,100.0,14,0.23,347,352,5,,,0,32.9,Low,26.1432,87.49380000000001,Araria Industrial Corridor Corridor (LA1084),Possession,Section 19 (Declaration) Issued,226
LA1085,Kerala,Thrissur,Expressway,91.8,179,0,37,100.0,1,0,84.0,18,70.6,47.6,4,0.463,334,523,189,R&R,R&R Bottleneck,1,83.9,High,10.4976,76.2314,Thrissur Expressway Corridor (LA1085),Compensation Disbursement,Section 19 (Declaration) Issued,217
LA1086,Andhra Pradesh,Guntur,Metro,218.0,303,3,31,69.5,3,0,82.8,26,98.7,72.9,21,0.121,401,508,107,Notification,Documentation,1,72.7,High,16.2927,80.4735,Guntur Metro Corridor (LA1086),Possession,Section 11 (Preliminary) Issued,261
LA1087,Tamil Nadu,Coimbatore,Expressway,141.3,546,2,83,81.8,5,0,60.2,54,57.6,65.9,20,0.255,346,545,199,Notification,Documentation,1,96.7,High,11.0148,76.9718,Coimbatore Expressway Corridor (LA1087),Survey & Documentation,Section 19 (Declaration) Issued,225
LA1088,Uttar Pradesh,Kanpur,Highway,386.3,1621,0,14,63.7,2,0,81.5,44,87.6,86.6,1,0.567,457,662,205,Approval,Pending Approval,1,95.9,High,26.4859,80.3399,Kanpur Highway Corridor (LA1088),Rehabilitation & Resettlement,Section 11 (Preliminary) Issued,297
LA1089,Maharashtra,Nashik,Metro,72.0,205,0,67,89.1,3,0,75.3,14,81.9,80.1,12,0.39,520,642,122,Notification,Documentation,1,77.3,High,20.0155,73.8278,Nashik Metro Corridor (LA1089),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,338
LA1090,Madhya Pradesh,Bhopal,Highway,77.1,142,0,28,97.8,2,0,70.9,40,67.7,65.8,12,0.144,353,355,2,,,0,48.5,Medium,23.2919,77.4176,Bhopal Highway Corridor (LA1090),Survey & Documentation,Section 19 (Declaration) Issued,229
LA1091,Madhya Pradesh,Bhopal,Industrial Corridor,127.6,158,1,37,80.2,3,0,75.2,40,87.4,100.0,7,0.256,473,585,112,Notification,Documentation,1,77.8,High,23.273899999999998,77.39359999999999,Bhopal Industrial Corridor Corridor (LA1091),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,307
LA1092,Karnataka,Bengaluru Rural,Railway,90.2,286,0,0,96.4,2,0,72.7,12,64.4,51.7,15,0.063,385,395,10,,,0,46.2,Medium,13.263399999999999,77.6078,Bengaluru Rural Railway Corridor (LA1092),Survey & Documentation,Section 19 (Declaration) Issued,250
LA1093,Karnataka,Mysuru,Industrial Corridor,118.7,406,0,24,100.0,2,0,79.1,30,55.8,50.7,21,0.377,288,292,4,,,0,81.4,High,12.2648,76.5984,Mysuru Industrial Corridor Corridor (LA1093),Compensation Disbursement,Section 19 (Declaration) Issued,187
LA1094,Andhra Pradesh,Guntur,Highway,352.4,486,1,30,70.6,5,0,52.0,68,16.7,36.5,8,0.212,197,369,172,Possession,Ownership Conflict,1,100.0,High,16.2627,80.4695,Guntur Highway Corridor (LA1094),Notification,Section 11 (Preliminary) Issued,128
LA1095,Maharashtra,Pune,Metro,25.6,52,1,73,92.8,5,0,73.7,23,51.0,59.4,5,0.308,353,568,215,Notification,Documentation,1,100.0,High,18.531399999999998,73.8147,Pune Metro Corridor (LA1095),Survey & Documentation,Section 19 (Declaration) Issued,229
LA1096,Bihar,Araria,Expressway,13.4,15,2,75,96.7,1,0,100.0,21,84.5,69.0,11,0.281,299,299,0,,,0,70.6,High,26.133200000000002,87.4838,Araria Expressway Corridor (LA1096),Compensation Disbursement,Section 19 (Declaration) Issued,194
LA1097,Odisha,Nayagarh,Highway,195.6,706,1,14,98.6,1,0,58.2,83,62.3,65.9,9,0.338,190,358,168,Approval,Pending Approval,1,97.0,High,20.106,85.07000000000001,Nayagarh Highway Corridor (LA1097),Survey & Documentation,Section 19 (Declaration) Issued,124
LA1098,Tamil Nadu,Madurai,Railway,133.5,487,4,67,78.7,2,0,88.3,0,64.7,78.7,29,0.349,414,576,162,Notification,Documentation,1,90.7,High,9.9572,78.1668,Madurai Railway Corridor (LA1098),Rehabilitation & Resettlement,Section 19 (Declaration) Issued,269
